time_seconds,time,speed,throttle,brake,steer,heart_rate,breathing_rate,GSR
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
373,0:06:13,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
374,0:06:14,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
375,0:06:15,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
376,0:06:16,0.00,0.62,0.62,0.00,0.0,nan,0
